User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Scott Stephens,@scootdogster,2020-01-01T23:53:09.000Z,"At least two more rounds of two #ArticlesOfImpeachment votes by the full house. 
@SenateGOP
 are forced to campaign through it all. #Voters will not, and should not, be denied the satisfaction of a ballot-box beat down of the #ComplicitRepublicans ! 
@realDonaldTrump
 @senatemajldrAt least two more rounds of two #ArticlesOfImpeachment votes by the full house. 
@SenateGOP
 are forced to campaign through it all. #Voters will not, and should not, be denied the satisfaction of a ballot-box beat down of the #ComplicitRepublicans ! 
@realDonaldTrump
 @senatemajldr",,1,4
Alexander Ph Vollmer,@laemmerbiss,2020-01-01T23:43:22.000Z,You have to wipe a lot of minds because many people started to believe that the new usual is the new normal and adjusted to it. You have to reverse the normative power of the loudest lie.You have to wipe a lot of minds because many people started to believe that the new usual is the new normal and adjusted to it. You have to reverse the normative power of the loudest lie.,1,,1
Lauren Weinstein,@laurenweinstein,2020-01-01T23:49:35.000Z,"This isn't ""Men in Black."" The service doesn't ""wipe minds"", it just makes Minimum Necessary Changes to the timeline. Don't worry about it. This is all handled by skilled professionals. These tweets won't even exist afterwards.",,,2
TT,@Tommy_T187,2020-01-01T23:50:43.000Z,"Me too, Doc!Me too, Doc!",,,
"Nasir Daniya PhD, FNCS",@nasirdaniya,2020-01-01T22:27:56.000Z,"They didn't even know they motivated me in 2019.
Thanks.
1. 
@A_Salkida
 
2. @anthonyfjoshua 
3. 
@BarackObama
 
4. 
@BashirAhmaad
 
5. 
@Belshagy
 
6. 
@dawisu
 
7. 
@DrIsaPantami
 
8. 
@JaafarSJaafar
 
9. 
@muftimenk
 
10. 
@Omojuwa
 
11. 
@realDonaldTrump
 
12. 
@renoomokri
 
13. 
@TonyOElumelu",12,15,191
Bashir Ahmad,@BashirAhmaad,2020-01-01T23:59:52.000Z,"Something like this always give me more energy and encourage me to work hard so I will be able to do more. We are really humbled. Thank you, Nasir. Happy New Year. ",1,2,14
Seeker22,@Seeker229,2020-01-02T23:53:48.000Z,"Hmm I just want to point a potential marker. A pizza girl veteran model. Posted shes now a playboy for New Zealand. 
Just Red Flags 
@CIA
 @FBI
 @realDonaldTrumpQuote Tweet
‚ò§ùì¢ùíåùì™ùì≤‚ò§
@Ravagiing
 ¬∑ Jan 2, 2020
Lots is USAF Activity in the air 

As in lots of movement.
Show this thread",,1,2
Malcolm Ellis,@43a6f0ce5dac4ea,2020-01-02T23:53:08.000Z,I don't know but Hollywood is a cesspitI don't know but Hollywood is a cesspit,,1,3
Adam Schiff,@RepAdamSchiff,2020-01-02T21:55:22.000Z,"These new documents highlight Trump's direct role in withholding military aid, and the Administration's efforts to hide it from Congress.

We subpoenaed them, and they refused. Now we know why.

A fair Senate trial requires all documents be produced. 

What else is Trump hiding?Quote Tweet
Just Security
@just_security
 ¬∑ Jan 2, 2020
EXCLUSIVE: @just_security has obtained unredacted versions of Trump administration emails about Ukraine aid.

They show the Pentagon repeatedly sounded the alarm that the freeze on funding was in violation of the law.

@K8brannen reports:

https://justsecurity.org/67863/exclusive-unredacted-ukraine-documents-reveal-extent-of-pentagons-legal-concerns/¶",3.4K,20.2K,57.6K
Speaking Out,@womanpersisted,2020-01-02T23:54:05.000Z,"Every day 
@realDonaldTrump
 is In the WH, he is endangering our security, because he's working for Putin and sharing everything he's told. He must be removed NOW to protect what America has left.",3,,12
