User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
David Millard Haskell,@DMillardHaskell,2019-02-01T21:09:24.000Z,"Like all far-leftists, 
@JustinTrudeau
 is determined to control how Canadians think.
The term ""re-education camps"" came with too much baggage, so the Liberals are calling their latest method of thought manipulation the ""Why you must vote Liberal *Awareness Sessions*.""Quote Tweet
Ezra Levant
@ezralevant
 ∑ Feb 1, 2019
In the upcoming election campaign, Justin Trudeau will spend $7M of taxpayer money running government ""awareness sessions"" to ""help citizens to critically assess online news reporting and editorials"".

I know you think I made that up, so here's the link: https://canada.ca/en/democratic-institutions/news/2019/01/enhancing-citizen-preparedness.html¶",6,18,31
Susan Delacourt,@SusanDelacourt,2019-02-01T23:04:47.000Z,"The PM, 
@JustinTrudeau
, went to my old hometown of Milton, Ont. yesterday. I went with him and here's what was on my mind: https://thestar.com/politics/political-opinion/2019/02/01/justin-trudeau-ventures-to-where-old-canada-meets-new.html¶ #cdnpoliOpinion | Justin Trudeau ventures to where old Canada meets new
This week's visit to Milton might not be the prime minister's last before October's federal election, Susan Delacourt writes.
thestar.com",3,6,12
David W. Lincoln,@DavidWLincoln,2019-02-01T21:19:45.000Z,"@lamphieryeg
 @BillTufts
 https://business.financialpost.com/opinion/lawrence-solomon-why-trumps-state-of-the-union-speech-will-ruin-trudeaus-night¶ makes it clear that Canadians enjoy prosperity due to the policies of 
@realDonaldTrump
. It needs to be said, even when 
@JustinTrudeau
 & 
@AndrewScheer
 are loathe to say so.",1,3,3
William Castillo B,@planwac,2019-02-01T20:19:00.000Z,"You are wrong Mr 
@JustinTrudeau
. You must read our Constitution now. There is not a single line that authorizes what Donald Trump is doing through his puppet, Mr Guaid√≥. A coup d'etat is underway in #Venezuela. And you support it. #CanadaTrudeau says clause in Venezuela constitution shows Guaido is interim president
Prime Minister Justin Trudeau said Thursday that there is a clause in the Venezuelan constitution that proves Juan Guaido is the legitimate interim president of the country. His comments come as...
haystack.tv",5,30,16
Tell MAMA UK,@TellMamaUK,2019-02-01T16:12:35.000Z,"Just listen to this response from 
@JustinTrudeau
. We need to understand history to understand how we can counter hate.Quote Tweet
Muhammad Lila
@MuhammadLila
 ∑ Jan 11, 2019
At a recent town hall, Canada's PM Justin Trudeau was confronted about why Canada admits so many immigrants, especially Muslims, because ""they want to kill us.""

This was his reply.
2:08
2M views",,1,2
Julia Ann Landry,@Jewelanland,2019-03-01T21:09:05.000Z,https://twitter.com/davidaklar/status/1101571464766070787¶  connecting the dotts so many dottshttps://twitter.com/davidaklar/status/1101571464766070787¶  connecting the dotts so many dotts,1,6,13
Kris Bailey,@KbaileyAuAg,2019-03-01T23:16:21.000Z,Perhaps you could get a lesson from Carey Price on what integrity is. But I doubt he would touch you even with a 10 foot pole at the rate you're going...#ResignPerhaps you could get a lesson from Carey Price on what integrity is. But I doubt he would touch you even with a 10 foot pole at the rate you're going...#Resign,1,1,13
Barbara Durkin,@Barbarajdurkin,2019-03-01T22:22:08.000Z,I agree.I agree.,1,,3
ùì°ùì∏ùìÆùìµùì∏ùìØ ùìëùì∏ùìÆùìª AKA Roy,@RoyPentland,2019-03-01T22:25:37.000Z,"Funny how alarmists and the media forget that ""government costs"" are actually costs borne by the taxpayers!",,2,3
Lisa Raitt,@lraitt,2019-03-01T20:11:05.000Z,Also - to any Liberal candidates out there who plan on running on the theme that Justin Trudeau is a feminist:  Good luck with that.,236,281,1K
BeenAround,@BeenAround3,2019-03-01T20:52:09.000Z,"Truth be told you are all morally bankrupt You voted against equal pay for women.I am much happier under Trudeau than 
@stephenharper
 I would still vote for 
@JustinTrudeau
 over smiley 
@AndrewScheer",5,1,24
Mrs. Ruth,@RuthRogul,2019-03-01T21:30:06.000Z, nothing is more important than voting the Liberals out next election nothing is more important than voting the Liberals out next election,,2,16
Brett C Major,@BrettCMajor1,2019-03-01T20:19:16.000Z,I'm not surprised that Justin Trudeau is looking to the Heavens for some Devine Intervention because everything he's doing right here on Earth is blowing up in his face.I'm not surprised that Justin Trudeau is looking to the Heavens for some Devine Intervention because everything he's doing right here on Earth is blowing up in his face.,2,7,33
Rochelle Squires,@MLASquires,2019-03-01T18:36:29.000Z,"I'm appalled by the way in which Jody Wilson-Raybould 
@Puglaas
, a strong Indigenous woman and Parliamentarian, has been mistreated by 
@JustinTrudeau
 and his staff. That would never happen in our cabinet or caucus. #cdnpoli #mbpoli",87,23,56
Karen Kehler,@kehler_karen,2019-03-01T23:52:31.000Z,Like your party gives a crap about women or indigenous people. I live in Manitoba and see how you are gutting social programs that help indigenous people.,1,5,17
dave harvey,@daveharvey222,2019-03-01T19:41:50.000Z,"Warren Kinsella is having twitter meltdowns and threatening to dox people's addresses, and sending his troll army to hack their emails for dox. @pattyolimerick was harrassed out of existence on twitter. And supporters of patty being served legal scares.Warren Kinsella is having twitter meltdowns and threatening to dox people's addresses, and sending his troll army to hack their emails for dox. @pattyolimerick was harrassed out of existence on twitter. And supporters of patty being served legal scares.",1,2,7
