User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
jaam91,@jaam91,2019-02-01T23:56:40.000Z,"Dems kill off their own
Why should a mistake 30 years ago, deprive us of good leaders?
if Democratic leaders must be perfect for their entire lives, we'll have no leaders",2,,2
Trump2024,@ForTrump,2019-02-01T23:56:35.000Z,"It's going to be solid entertainment watching the 45 + democrats trying to get a platform for president. My suggestion is they may be better off putting their 45 partial brains together 2 make 1 solid candidate that will still b beaten by 
@realDonaldTrump
 #Booker2020 #Kamala2020",2,4,14
Mark Lunn,@Mark_A_Lunn,2019-02-01T23:38:36.000Z,"Are you sure this is the graph you meant to post?

Because I see a clear upward trend.Are you sure this is the graph you meant to post?

Because I see a clear upward trend.",4,,5
Bobdad,@Captbobdad,2019-02-01T23:55:17.000Z,A very minor warming with sharp cooling in the past 2 years. Natural cycles explain w/o recourse to CO2,1,2,6
RickyRayinGA,@RickyRayinGA,2019-02-01T23:53:18.000Z,".
@POTUS
 @realDonaldTrump
 needs to use this option not National Emergency Powers, he is Commander in Chief:
Pelosi could force Senate Republicans into awkward vote on Trump emergency powers https://washex.am/2HOb4iWQuote Tweet
RickyRayinGA
@RickyRayinGA
 ∑ Feb 1, 2019
Pentagon Confirms: President Å¶@realDonaldTrumpÅ© Can Build The Wall Without Declaring National Emergency - Å¶@LindseyGrahamSCÅ© Å¶@senatemajldrÅ©  https://bigleaguepolitics.com/pentagon-confirms-president-trump-can-build-the-wall-without-declaring-national-emergency/¶",,1,
Andrew Wortman,@AmoneyResists,2019-02-01T23:54:38.000Z,Great minds think alikeGreat minds think alike,,3,9
LoveLettersTo007,@loveletters2007,2019-02-01T23:52:32.000Z,I sincerely doubt he said it yet it wouldn't matter. The bill says nothing of the sort. It's another disingenuous trump troll pay to tweet click bait bs story I sincerely doubt he said it yet it wouldn't matter. The bill says nothing of the sort. It's another disingenuous trump troll pay to tweet click bait bs story ,2,,1
Patriots Flame,@majorgarrett69,2019-02-01T23:54:59.000Z,"You údoubt he said itù.  Ok, so you admit that you have not watched him say these things. Fine. But he did.",1,,3
Yamiche Alcindor,@Yamiche,2019-02-01T23:38:36.000Z,"Just to be clear, we still don't know if Gov Northam is the man in blackface or the man in the KKK robe. What we do know is, it doesn't really matter which racist outfit he wore but rather that he wore them one of them. Truly incredible and disturbing.Just to be clear, we still don't know if Gov Northam is the man in blackface or the man in the KKK robe. What we do know is, it doesn't really matter which racist outfit he wore but rather that he wore them one of them. Truly incredible and disturbing.",59,146,747
"Arthur Childs,DO,MSHQSM,FACOI",@artiedoc,2019-02-01T23:52:57.000Z,"I'm not yet sure how I feel about how genuine or sufficient 
@RalphNortham
 s apology is but I do know one thing ...there is not one Republican who should dare utter a word as long as they continue to support 
@realDonaldTrump
 and allow  Kavanaugh to be placed on the Supreme Court",1,2,7
ProgressivePower,@OurProgressive,2019-02-01T23:56:54.000Z,"Who wrote this for you Donnie? Without getting banned on twitter, let's just say you and the #GOP #Klan are obsessed with  #WhiteAmerica.  To honor Africa, deport yourself, #TrumpCrimeFamily and the GOP. Are we clear? Get ready to be cuffed very soon, DonJr is next. #ResistWho wrote this for you Donnie? Without getting banned on twitter, let's just say you and the #GOP #Klan are obsessed with  #WhiteAmerica.  To honor Africa, deport yourself, #TrumpCrimeFamily and the GOP. Are we clear? Get ready to be cuffed very soon, DonJr is next. #Resist",4,1,9
Wayne Dunlap,@wdunlap,2019-03-01T16:13:38.000Z,"Hillary's shameful pay for play' REAL RUSSIAN CORRUPTION must be punished! Why did Hillary take over $145 Million from Russians?... and more importantly, why did they give it to her?Hillary's shameful pay for play' REAL RUSSIAN CORRUPTION must be punished! Why did Hillary take over $145 Million from Russians?... and more importantly, why did they give it to her?",578,425,1.4K
OldVet,@Old_Vet69,2019-03-01T23:59:21.000Z,"Another head in A$$, can't really see or hear. ",1,1,3
Jo Jo,@JoJoInNewYork,2019-03-01T23:54:28.000Z,I suppose you were also misinterpreted when you said you believed Putin and MBS. Point is you take their side over America. How should we interpret that?I suppose you were also misinterpreted when you said you believed Putin and MBS. Point is you take their side over America. How should we interpret that?,,1,5
hangover0u812,@hangoverou812,2019-03-01T23:57:10.000Z,Yeah don't forget úmeù. It's always about úmeù.Yeah don't forget úmeù. It's always about úmeù.,1,1,27
Pronto Cullo,@prontocullo,2019-03-01T23:57:05.000Z,"No, you don't love him and no, you don't think of him often. Despicable lies. Meanwhile being outsmarted by fellow autocrats Putin, MBS and Kim; some world class deal maker you are, let alone world leader. Please make America great again: resign.No, you don't love him and no, you don't think of him often. Despicable lies. Meanwhile being outsmarted by fellow autocrats Putin, MBS and Kim; some world class deal maker you are, let alone world leader. Please make America great again: resign.",,1,6
TsuNami - PhD For The People,@ImHereForTsu,2019-03-01T23:59:17.000Z,Yes... whisper sweet nothings to him. He lives for that. Just ask #KimJongUn,,,22
Nationalist RN,@LindaMc20519787,2019-03-01T23:55:57.000Z,She's so arrogant! It might help her to learn the subject matter before spewing anythingShe's so arrogant! It might help her to learn the subject matter before spewing anything,,1,3
teresa long,@long_ter,2019-03-01T23:55:49.000Z,"""A traunch is one of a series of fund allotments earmarked for a specific purpose, such as a financing round in a start-up. Traunches are used by venture capital firms as a means of minimizing risk.Dec 14, 2017"".  I bet he didn't write this...or maybe combined launch and tarrif?""A traunch is one of a series of fund allotments earmarked for a specific purpose, such as a financing round in a start-up. Traunches are used by venture capital firms as a means of minimizing risk.Dec 14, 2017"".  I bet he didn't write this...or maybe combined launch and tarrif?",,1,15
SassyPantsHere,@trialwatcher4ev,2019-03-01T23:55:55.000Z,"Too late buck-o, we herd you the 1st time..Too late buck-o, we herd you the 1st time..",,1,2
Rob Putnam,@SkilledNapper,2019-03-01T23:57:27.000Z,Of course it's someone else's fault. Your entire *presidency* has been someone else's fault. Why begin to take responsibility for your own actions now?Of course it's someone else's fault. Your entire *presidency* has been someone else's fault. Why begin to take responsibility for your own actions now?,,,5
ty,@dumbbbitchparty,2019-03-01T23:55:49.000Z,"I was in love with 
@blairwalnuts
 until I was stalking her Instagram page because she's gorgeous obvi, but I also found out she supports 
@realDonaldTrump
   god send me a good wholesome YouTuber that doesn't support Donald The following media includes potentially sensitive content. Change settings
View",3,1,7
Verbad Redmage,@yaboyeggnog,2019-03-01T23:56:48.000Z,Maybe you need to read the art of the deal on PCP to understand his 12D chess methodology.,2,,5
Nightowl,@Nightow10218300,2019-03-01T23:58:43.000Z,I notice that Trump followers never actually try to defend Trump. All they do is attack past politicians who aren't even in office anymore. I suppose they know Trump is too corrupt to defend.I notice that Trump followers never actually try to defend Trump. All they do is attack past politicians who aren't even in office anymore. I suppose they know Trump is too corrupt to defend.,,1,8
mark gurko,@Mgurko25,2019-03-01T23:57:01.000Z,"First you disrespect this poor family, siding with a murderer. Then you lie about it, and then brag about bringing him home but doing NOTHING about it!  Wtf is wrong with you?!?!First you disrespect this poor family, siding with a murderer. Then you lie about it, and then brag about bringing him home but doing NOTHING about it!  Wtf is wrong with you?!?!",,1,7
Zinedine Descartes,@ZizouDescartes,2019-03-01T23:57:34.000Z,2/ And when you accused the Central Park Five. And when you lied about Trump tower Moscow. And lied about Jared's security clearance. And when you said you knew nothing of Stormy Daniels payments. And when you asked Russia to hack Hillary. And when you incite violence.2/ And when you accused the Central Park Five. And when you lied about Trump tower Moscow. And lied about Jared's security clearance. And when you said you knew nothing of Stormy Daniels payments. And when you asked Russia to hack Hillary. And when you incite violence.,,1,7
LJLassiter,@Lassiter2011,2019-03-01T23:59:44.000Z,"@jilevin
White House not cooperating in security clearance probe: House committee chairman https://abcn.ws/2BVIabi@jilevin
White House not cooperating in security clearance probe: House committee chairman https://abcn.ws/2BVIabi",1,2,14
