Moving Average,class
0.00035228707442636065,UP
0.00035708870794715075,DOWN
0.0003021935209792659,UP
0.00034342857346025824,UP
0.0003473985461561746,DOWN
0.0003336807163913935,DOWN
0.00026312759309088385,DOWN
0.00020486922495988047,DOWN
0.00018418492806526743,UP
0.00020592319262546788,UP
0.0002471782143049772,DOWN
0.00021333369769904742,UP
0.00023650779420303358,DOWN
0.00022878006237436743,UP
0.00024945273733512074,UP
0.0002666837795728405,DOWN
0.00022089816244030835,DOWN
0.00018927109822874932,DOWN
0.00018456004377576107,DOWN
0.000179035967203367,DOWN
0.000166968973677184,UP
0.00017223340369731943,DOWN
0.00014139826546899492,UP
0.00014317725188472963,UP
0.0002182626746494165,DOWN
0.00019218540498489034,DOWN
0.00017873895465059242,UP
0.00019536717454027297,UP
0.0002195220561500566,UP
0.0002385363171177879,DOWN
0.00023554734795494525,DOWN
0.00019683541372583768,UP
0.00020487096973287322,UP
0.0002096325271541133,DOWN
0.00018578019426507275,DOWN
0.000168054779633664,DOWN
0.00013331575167296883,UP
0.00015725423654044945,UP
0.00019952412750678938,UP
0.00021446194875673896,DOWN
0.00019747321643581728,DOWN
0.00018286342912254838,UP
0.0002216759659723344,DOWN
0.00016036489601711779,DOWN
0.00014408984857738893,UP
0.0001444589891872461,UP
0.00017383969304307634,UP
0.00019334975771490015,UP
0.00019505883491977016,DOWN
0.0001763166093307067,UP
0.00019836655643490353,DOWN
0.00019397685402600118,DOWN
0.0001445055901594383,DOWN
0.00014356767426715322,DOWN
0.00013282382817081384,UP
0.00014539445292194308,UP
0.00016209701835845358,DOWN
0.0001568355628860374,DOWN
0.00015175009930978867,DOWN
9.187191428039476e-05,DOWN
8.21207298400406e-05,UP
8.851524980846293e-05,DOWN
8.517602926794154e-05,UP
8.885381261425351e-05,DOWN
2.615045652287762e-05,DOWN
3.009849973478751e-06,DOWN
-2.1908183385210833e-06,UP
6.187065606511055e-07,DOWN
-2.5561607791324548e-05,DOWN
-3.2868736429048084e-05,DOWN
-4.1299090771662605e-05,UP
-2.441597264812856e-05,UP
-2.312802369064393e-05,UP
4.4238626066173126e-05,DOWN
2.75372291680398e-05,UP
4.31501679287738e-05,DOWN
9.605103699517059e-06,UP
1.1389800821381968e-05,UP
2.4665629481335216e-05,UP
2.933229945112359e-05,UP
3.3124234803283414e-05,UP
3.738180093426635e-05,DOWN
6.066996576237216e-07,UP
1.2451901250987163e-05,UP
4.5596958890392614e-05,DOWN
4.319059914870138e-05,UP
5.786196666734966e-05,DOWN
5.618087760139723e-05,DOWN
4.845418690857528e-05,DOWN
2.2344460198553406e-05,UP
2.7942089306121076e-05,DOWN
2.1005968002585362e-05,DOWN
1.1862636894344192e-05,UP
1.39267686238842e-05,DOWN
1.063400821421645e-05,UP
3.149186169149054e-05,DOWN
3.652715635071857e-06,UP
2.3991401254086497e-05,UP
2.7322638829652135e-05,UP
2.9369382018140655e-05,UP
3.3129352139171786e-05,DOWN
2.9234035730851815e-05,DOWN
-9.473508333357472e-08,UP
2.1243146238525412e-05,UP
2.24812253906137e-05,DOWN
2.1135743780931193e-05,DOWN
5.495184087545013e-06,DOWN
-1.9617857900167124e-05,DOWN
-2.8504425231723474e-05,DOWN
-3.31588697373153e-05,UP
-2.9613777795312046e-05,UP
-2.7799721178167758e-05,DOWN
-5.334812970936298e-05,UP
-4.0089059232695234e-05,DOWN
-5.1872215095061236e-05,UP
-2.9000010588253744e-05,DOWN
-3.027708061820178e-05,DOWN
-3.304689883276701e-05,DOWN
-3.478878769014315e-05,DOWN
-6.598372785671103e-05,DOWN
-7.555065865960664e-05,UP
-5.874954191242843e-05,UP
-3.818027585533734e-05,UP
-3.633893739718452e-05,DOWN
-4.708308090872748e-05,DOWN
-6.037262523705955e-05,DOWN
-8.205933662153164e-05,DOWN
-8.858144064505247e-05,UP
-7.514646790407475e-05,DOWN
-7.774154284723167e-05,DOWN
-8.758949971721108e-05,DOWN
-0.00010746978793463313,UP
-9.040778224056467e-05,DOWN
-0.00010187145172357859,DOWN
-0.0001018654916864481,UP
-9.950286273197051e-05,UP
-8.705221667226759e-05,DOWN
-0.00010343103126886355,DOWN
-0.00011106341651978546,DOWN
-0.00011621926551175221,DOWN
-0.00012416124237302206,DOWN
-0.00012854289446750933,DOWN
-0.00014198702537693286,UP
-0.00013637560172896634,DOWN
