@relation complete

@attribute Justin numeric
@attribute Trump numeric
@attribute 'Moving Average' numeric
@attribute class {DOWN,UP}

@data
0.088683,0.0031,-0.000081,DOWN
0.074139,0.027771,-0.000077,UP
0.007378,0.104952,-0.00007,UP
-0.003776,0.120758,-0.000077,DOWN
0.00798,0.114955,-0.000078,DOWN
0.030963,-0.056759,-0.000092,DOWN
0.072468,-0.094361,-0.000089,UP
0.010121,0.00051,-0.000081,UP
0.020416,0.038702,-0.000082,DOWN
0.035352,0.186996,-0.000081,UP
0.16171,0.149611,-0.000077,UP
0.189909,0.032064,-0.000078,DOWN
0.048669,-0.061861,-0.000092,DOWN
0.029233,-0.003538,-0.000102,DOWN
-0.010533,-0.017841,-0.000102,DOWN
0.024779,0.087762,-0.000106,DOWN
0.233088,0.05078,-0.00013,DOWN
