file,run,accuracy
NoTrudeau2019.csv,21,0.4569556451612902
NoTrudeau2019.csv,22,0.4151209677419355
NoTrudeau2019.csv,23,0.5274193548387096
NoTrudeau2019.csv,24,0.5497983870967742
NoTrudeau2019.csv,25,0.5404233870967743
NoTrudeau2019.csv,26,0.4699596774193548
NoTrudeau2019.csv,27,0.4854838709677419
NoTrudeau2019.csv,28,0.5236895161290321
NoTrudeau2019.csv,29,0.49838709677419357
NoTrudeau2020.csv,0,0.4841733870967742
NoTrudeau2020.csv,1,0.4939516129032258
NoTrudeau2020.csv,2,0.48800403225806444
NoTrudeau2020.csv,3,0.4875
NoTrudeau2020.csv,4,0.5166330645161291
NoTrudeau2020.csv,5,0.4903225806451612
NoTrudeau2020.csv,6,0.5084677419354838
NoTrudeau2020.csv,7,0.5023185483870968
