Moving Average,class
-4.6352235370417105e-05,UP
-3.614092251913448e-05,UP
-4.33825119379172e-05,DOWN
-3.8116962536749455e-05,UP
-3.7772641000133333e-05,UP
-3.567782367208672e-05,UP
-4.6137448437511e-05,DOWN
-4.127713809198852e-05,UP
-4.264249752483629e-05,DOWN
-4.4895228424435274e-05,DOWN
-4.080320540400528e-05,UP
-3.408090220213822e-05,UP
-3.849465729066637e-05,DOWN
-6.993257239473749e-05,DOWN
-7.48372457310964e-05,DOWN
-5.166897424779826e-05,UP
-5.0708245030506305e-05,UP
-5.484611686168428e-05,DOWN
-5.572240311368937e-05,DOWN
-7.493984768958128e-05,DOWN
-8.087952970337042e-05,DOWN
-7.689583693371027e-05,UP
-7.024967184787734e-05,UP
-7.661830346616938e-05,DOWN
-7.768002861441303e-05,DOWN
-9.230525145320634e-05,DOWN
-8.901765511115656e-05,UP
-8.074052882101057e-05,UP
-8.162989019400158e-05,DOWN
-8.073297971566973e-05,UP
-7.735484920701197e-05,UP
-7.758620319053833e-05,DOWN
-9.163847642867928e-05,DOWN
-0.00010169695261841305,DOWN
-0.00010226479671837652,DOWN
-0.00010636586424461747,DOWN
-0.00013019909397637974,DOWN
