file,run,accuracy
NoTrudeau2019.csv,20,0.5243951612903226
NoTrudeau2019.csv,21,0.4545362903225806
NoTrudeau2019.csv,22,0.4378024193548387
NoTrudeau2019.csv,23,0.4824596774193548
NoTrudeau2019.csv,24,0.45967741935483863
NoTrudeau2019.csv,25,0.5558467741935484
NoTrudeau2019.csv,26,0.5109879032258063
NoTrudeau2019.csv,27,0.5202620967741935
NoTrudeau2019.csv,28,0.513508064516129
NoTrudeau2019.csv,29,0.4222782258064516
NoTrudeau2020.csv,0,0.5131048387096774
NoTrudeau2020.csv,1,0.515625
NoTrudeau2020.csv,2,0.5128024193548386
NoTrudeau2020.csv,3,0.5670362903225806
NoTrudeau2020.csv,4,0.5037298387096774
NoTrudeau2020.csv,5,0.5509072580645162
NoTrudeau2020.csv,6,0.532258064516129
